Localidad del delito,Latitude,Longitude
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Cordoba,-31.4201,-64.1888
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Aeropuerto Ezeiza,-34.8222,-58.5358
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Mendoza,-32.8895,-68.8458
Mendoza,-32.8895,-68.8458
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Mendoza,-32.8895,-68.8458
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Sao Paulo,,
Sao Paulo,,
Sao Paulo,,
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Clorinda,-25.2846,-57.7185
Clorinda,-25.2846,-57.7185
Asuncion,-25.2637,-57.5759
Asuncion,-25.2637,-57.5759
Buenos Aires,-34.6037,-58.3816
Bahia Blanca,,
Cordoba,-31.4201,-64.1888
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
"Washington, DC",38.9072,-77.0369
"Washington, DC",38.9072,-77.0369
San Miguel de Tucuman,,
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Roma,41.9028,12.4964
Roma,41.9028,12.4964
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Clorinda,-25.2846,-57.7185
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Cordoba,-31.4201,-64.1888
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Concordia,,
San Jose,9.9281,-84.0907
San Jose,9.9281,-84.0907
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Candelaria,,
Colonia,,
Colonia,,
Colonia,,
Candelaria,,
Oruro,-17.9833,-67.15
Oruro,-17.9833,-67.15
Cochabamba,-17.3895,-66.1568
Mendoza,-32.8895,-68.8458
Mendoza,-32.8895,-68.8458
Mendoza,-32.8895,-68.8458
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Montevideo,-34.9011,-56.1645
Mendoza,-32.8895,-68.8458
Montevideo,-34.9011,-56.1645
Mendoza,-32.8895,-68.8458
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Montevideo,-34.9011,-56.1645
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Asuncion,-25.2637,-57.5759
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Santa Cruz,-17.7833,-63.1821
La Paz,-16.5,-68.15
Buenos Aires,-34.6037,-58.3816
Montevideo,-34.9011,-56.1645
Buenos Aires,-34.6037,-58.3816
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Cordoba,-31.4201,-64.1888
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Cochabamba,-17.3895,-66.1568
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Buenos Aires,-34.6037,-58.3816
Montevideo,-34.9011,-56.1645
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Formosa,-26.1849,-58.1731
Asuncion,-25.2637,-57.5759
Asuncion,-25.2637,-57.5759
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Montevideo,-34.9011,-56.1645
Buenos Aires,-34.6037,-58.3816
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Cochabamba,-17.3895,-66.1568
Cochabamba,-17.3895,-66.1568
"Washington, DC",38.9072,-77.0369
"Washington, DC",38.9072,-77.0369
"Washington, DC",38.9072,-77.0369
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Llallagua,-18.4243,-66.5839
Llallagua,-18.4243,-66.5839
Llallagua,-18.4243,-66.5839
Llallagua,-18.4243,-66.5839
Montevideo,-34.9011,-56.1645
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Formosa,-26.1849,-58.1731
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Punta del Este,,
Punta del Este,,
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Paris,48.8566,2.3522
Paris,48.8566,2.3522
Lisbon,38.7223,-9.1393
Paris,48.8566,2.3522
Paris,48.8566,2.3522
Madrid,40.4168,-3.7038
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Cipolletti,-38.9339,-67.9903
Cipolletti,-38.9339,-67.9903
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Puerto Iguazu,-25.5991,-54.5736
Puerto Iguazu,-25.5991,-54.5736
Puerto Iguazu,-25.5991,-54.5736
Puerto Iguazu,-25.5991,-54.5736
Puerto Iguazu,-25.5991,-54.5736
Puerto Iguazu,-25.5991,-54.5736
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Puerto Iguazu,-25.5991,-54.5736
Puerto Iguazu,-25.5991,-54.5736
Parana,-31.7319,-60.5238
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
San Miguel de Tucuman,,
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Asuncion,-25.2637,-57.5759
Asuncion,-25.2637,-57.5759
Asuncion,-25.2637,-57.5759
Asuncion,-25.2637,-57.5759
Asuncion,-25.2637,-57.5759
Asuncion,-25.2637,-57.5759
Buenos Aires,-34.6037,-58.3816
Lima,-12.0464,-77.0428
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Madrid,40.4168,-3.7038
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Comodoro Rivadavia,,
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Santiago,-33.4489,-70.6693
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Santiago,-33.4489,-70.6693
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Sao Paulo,,
Sao Paulo,,
Concordia,,
Concordia,,
Concordia,,
Concordia,,
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Montevideo,-34.9011,-56.1645
Rio de Janeiro,-22.9068,-43.1729
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
San Miguel de Tucuman,,
Colonia,,
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
s/d,,
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Salto,,
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Buenos Aires,-34.6037,-58.3816
Formosa,-26.1849,-58.1731
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Buenos Aires,-34.6037,-58.3816
Lima,-12.0464,-77.0428
Lima,-12.0464,-77.0428
Lima,-12.0464,-77.0428
Arequipa,-16.409,-71.5375
Lima,-12.0464,-77.0428
Lima,-12.0464,-77.0428
Lima,-12.0464,-77.0428
Lima,-12.0464,-77.0428
Lima,-12.0464,-77.0428
Lima,-12.0464,-77.0428
Arequipa,-16.409,-71.5375
Lima,-12.0464,-77.0428
Lima,-12.0464,-77.0428
Nueva Palmira,-33.876,-58.4118
Nueva Palmira,-33.876,-58.4118
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Rio,-22.9068,-43.1729
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Passo Fundo/RS,-28.2636,-52.4064
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Montevideo,-34.9011,-56.1645
Porto Alegre,-30.0346,-51.2177
Porto Alegre,-30.0346,-51.2177
Porto Alegre,-30.0346,-51.2177
Porto Alegre,-30.0346,-51.2177
Uruguaiana,-29.7547,-57.0882
Porto Alegre,-30.0346,-51.2177
Mendoza,-32.8895,-68.8458
Foz do Iguacu,-25.5163,-54.5854
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
"Colonia La Matanza, Chaco",-27.3,-61.9
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Posadas,-27.3621,-55.9009
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
La Plata,-34.9214,-57.9544
Cordoba (pcia),-31.4201,-64.1888
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
Buenos Aires,-34.6037,-58.3816
